#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         413      4.000000e-01      1.162228e-01      1.578108e-02
         414      3.600000e-01      1.168116e-01      1.575394e-02
         415      4.800000e-01      1.176867e-01      1.574027e-02
         416      3.200000e-01      1.181731e-01      1.570994e-02
         417      2.400000e-01      1.184652e-01      1.567498e-02
         418      2.400000e-01      1.187560e-01      1.564018e-02
         419      3.600000e-01      1.193317e-01      1.561345e-02
         420      3.600000e-01      1.199048e-01      1.558678e-02
         421      3.200000e-01      1.203800e-01      1.555701e-02
         422      4.400000e-01      1.211374e-01      1.553857e-02
         423      3.200000e-01      1.216076e-01      1.550894e-02
         424      3.200000e-01      1.220755e-01      1.547942e-02
         425      3.200000e-01      1.225412e-01      1.545000e-02
         426      4.000000e-01      1.231925e-01      1.542746e-02
         427      2.800000e-01      1.235597e-01      1.539570e-02
         428      2.400000e-01      1.238318e-01      1.536213e-02
         429      4.400000e-01      1.245688e-01      1.534399e-02
         430      4.800000e-01      1.253953e-01      1.533055e-02
         431      4.800000e-01      1.262181e-01      1.531705e-02
         432      5.200000e-01      1.271296e-01      1.530869e-02
         433      6.400000e-01      1.283141e-01      1.531909e-02
         434      6.000000e-01      1.294009e-01      1.532229e-02
         435      5.200000e-01      1.302989e-01      1.531336e-02
         436      3.600000e-01      1.308257e-01      1.528730e-02
         437      4.000000e-01      1.314416e-01      1.526472e-02
         438      4.000000e-01      1.320548e-01      1.524218e-02
         439      4.800000e-01      1.328474e-01      1.522805e-02
         440      5.200000e-01      1.337273e-01      1.521884e-02
         441      6.400000e-01      1.348753e-01      1.522757e-02
         442      7.200000e-01      1.361991e-01      1.525055e-02
         443      6.000000e-01      1.372460e-01      1.525202e-02
         444      6.800000e-01      1.384685e-01      1.526658e-02
         445      7.600000e-01      1.398652e-01      1.529603e-02
         446      8.800000e-01      1.415247e-01      1.535149e-02
         447      7.200000e-01      1.428188e-01      1.537159e-02
         448      7.600000e-01      1.441964e-01      1.539889e-02
         449      7.200000e-01      1.454788e-01      1.541790e-02
         450      6.800000e-01      1.466667e-01      1.542933e-02
         451      6.000000e-01      1.476718e-01      1.542783e-02
         452      4.800000e-01      1.484071e-01      1.541120e-02
         453      5.600000e-01      1.493157e-01      1.540394e-02
         454      4.800000e-01      1.500441e-01      1.538722e-02
         455      5.200000e-01      1.508571e-01      1.537487e-02
         456      2.800000e-01      1.511404e-01      1.534377e-02
         457      2.400000e-01      1.513348e-01      1.531142e-02
         458      2.400000e-01      1.515284e-01      1.527921e-02
         459      2.400000e-01      1.517211e-01      1.524714e-02
         460      2.400000e-01      1.519130e-01      1.521520e-02
         461      2.400000e-01      1.521041e-01      1.518340e-02
         462      3.200000e-01      1.524675e-01      1.515488e-02
         463      2.000000e-01      1.525702e-01      1.512250e-02
         464      1.600000e-01      1.525862e-01      1.508992e-02
         465     -8.000000e-02      1.520860e-01      1.506575e-02
         466     -2.400000e-01      1.512446e-01      1.505690e-02
         467     -2.800000e-01      1.503212e-01      1.505295e-02
         468     -1.200000e-01      1.497436e-01      1.503186e-02
         469     -1.600000e-01      1.490832e-01      1.501431e-02
         470     -4.000000e-02      1.486809e-01      1.498775e-02
         471     -4.000000e-02      1.482803e-01      1.496129e-02
         472     -1.600000e-01      1.476271e-01      1.494384e-02
         473     -3.200000e-01      1.466385e-01      1.494491e-02
         474     -1.600000e-01      1.459916e-01      1.492738e-02
         475     -2.000000e-01      1.452632e-01      1.491371e-02
         476     -1.600000e-01      1.446218e-01      1.489616e-02
         477     -3.200000e-01      1.436478e-01      1.489675e-02
         478     -1.200000e-01      1.430962e-01      1.487579e-02
         479      0.000000e+00      1.427975e-01      1.484773e-02
         480     -2.000000e-01      1.420833e-01      1.483396e-02
         481     -2.000000e-01      1.413721e-01      1.482016e-02
         482     -4.000000e-02      1.409959e-01      1.479419e-02
         483     -1.200000e-01      1.404555e-01      1.477343e-02
