#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         457      4.000000e-02      1.444201e-02      8.933549e-03
         458      1.200000e-01      1.467249e-02      8.917016e-03
         459     -4.000000e-02      1.455338e-02      8.898384e-03
         460     -4.400000e-01      1.356522e-02      8.933739e-03
         461     -1.200000e-01      1.327549e-02      8.919057e-03
         462     -8.000000e-02      1.307359e-02      8.902036e-03
         463      4.000000e-02      1.313175e-02      8.882999e-03
         464     -8.000000e-02      1.293103e-02      8.866122e-03
         465     -2.400000e-01      1.238710e-02      8.863725e-03
         466     -2.000000e-01      1.193133e-02      8.856414e-03
         467     -8.000000e-02      1.173448e-02      8.839637e-03
         468     -4.000000e-02      1.162393e-02      8.821440e-03
         469     -1.600000e-01      1.125800e-02      8.810217e-03
         470     -1.600000e-01      1.089362e-02      8.799004e-03
         471     -8.000000e-02      1.070064e-02      8.782439e-03
         472     -1.600000e-01      1.033898e-02      8.771275e-03
         473     -2.400000e-01      9.809725e-03      8.768684e-03
         474     -3.200000e-01      9.113924e-03      8.777748e-03
         475     -1.600000e-01      8.757895e-03      8.766485e-03
         476     -8.000000e-02      8.571429e-03      8.750051e-03
         477      4.000000e-02      8.637317e-03      8.731955e-03
         478      4.400000e-01      9.539749e-03      8.760196e-03
         479      2.400000e-01      1.002088e-02      8.755110e-03
         480     -4.000000e-02      9.916667e-03      8.737490e-03
         481      2.000000e-01      1.031185e-02      8.728257e-03
         482      2.000000e-01      1.070539e-02      8.719016e-03
         483     -8.000000e-02      1.051760e-02      8.702987e-03
         484      3.600000e-01      1.123967e-02      8.714908e-03
         485      2.800000e-01      1.179381e-02      8.714540e-03
         486      0.000000e+00      1.176955e-02      8.696642e-03
         487      0.000000e+00      1.174538e-02      8.678818e-03
         488      1.200000e-01      1.196721e-02      8.663868e-03
         489     -2.000000e-01      1.153374e-02      8.656988e-03
         490     -5.200000e-01      1.044898e-02      8.707018e-03
         491     -8.000000e-02      1.026477e-02      8.691233e-03
         492      2.000000e-01      1.065041e-02      8.682120e-03
         493      0.000000e+00      1.062880e-02      8.664536e-03
         494      1.200000e-01      1.085020e-02      8.649825e-03
         495      8.000000e-02      1.098990e-02      8.633478e-03
         496     -4.000000e-02      1.088710e-02      8.616684e-03
         497     -3.600000e-01      1.014085e-02      8.631601e-03
